Timestamp;scop_fc_ce;scop_fc_e;scop_fc_out
0;-499;-679;-1652
10076;-499;-579;-1598
20077;-499;-479;-1522
30090;-499;-379;-1420
40091;-499;-279;-1286
50089;-499;-179;-1121
60093;-499;-79;-931
70091;-499;20;-729
80089;-499;120;-529
90091;-499;220;-348
100092;-499;320;-196
110093;-499;420;-75
120088;-499;519;16
130089;-499;619;82
140092;-499;719;129
150090;-499;819;161
160093;-499;920;184
170091;-489;-979;-1725
180093;-489;-879;-1707
190076;-489;-779;-1682
200093;-489;-679;-1644
210092;-489;-579;-1590
220091;-489;-479;-1514
230089;-489;-379;-1411
240091;-489;-279;-1278
250091;-489;-179;-1113
260091;-489;-79;-923
270091;-489;20;-720
280093;-489;120;-521
290093;-489;220;-340
300090;-489;320;-187
310091;-489;420;-66
320091;-489;519;24
330091;-489;619;90
340090;-489;719;137
350091;-489;819;170
360092;-489;920;192
370088;-479;-979;-1716
380089;-479;-879;-1699
390093;-479;-779;-1673
400092;-479;-679;-1635
410088;-479;-579;-1581
420090;-479;-479;-1505
430077;-479;-379;-1403
440089;-479;-279;-1269
450090;-479;-179;-1104
460091;-479;-79;-914
470089;-479;20;-712
480089;-479;120;-512
490089;-479;220;-331
500091;-479;320;-179
510089;-479;420;-58
520092;-479;519;33
530089;-479;619;99
540089;-479;719;146
550088;-479;819;179
560091;-479;920;201
570092;-469;-979;-1707
580090;-469;-879;-1690
590091;-469;-779;-1664
600089;-469;-679;-1626
610089;-469;-579;-1572
620093;-469;-479;-1496
630091;-469;-379;-1394
640093;-469;-279;-1260
650092;-469;-179;-1095
660089;-469;-79;-905
670088;-469;20;-703
680092;-469;120;-503
690090;-469;220;-322
700088;-469;320;-170
710174;-469;420;-49
720080;-469;519;42
730090;-469;619;108
740092;-469;719;155
750091;-469;819;188
760089;-469;920;210
770088;-459;-979;-1698
780093;-459;-879;-1681
790091;-459;-779;-1655
800092;-459;-679;-1617
810089;-459;-579;-1563
820091;-459;-479;-1487
830090;-459;-379;-1384
840090;-459;-279;-1251
850088;-459;-179;-1086
860093;-459;-79;-896
870088;-459;20;-693
880092;-459;120;-494
890091;-459;220;-313
900093;-459;320;-160
910090;-459;420;-39
920091;-459;519;51
930088;-459;619;117
940092;-459;719;164
950091;-459;819;197
960078;-459;920;219
970091;-449;-979;-1689
980091;-449;-879;-1671
990088;-449;-779;-1645
1000092;-449;-679;-1607
1010091;-449;-579;-1553
1020093;-449;-479;-1478
1030089;-449;-379;-1375
1040089;-449;-279;-1241
1050089;-449;-179;-1076
1060091;-449;-79;-886
1070090;-449;20;-684
1080089;-449;120;-485
1090093;-449;220;-304
1100090;-449;320;-151
1110089;-449;420;-30
1120091;-449;519;61
1130089;-449;619;127
1140088;-449;719;174
1150090;-449;819;206
1160092;-449;920;229
1170089;-439;-979;-1679
1180090;-439;-879;-1661
1190089;-439;-779;-1635
1200093;-439;-679;-1597
1210089;-439;-579;-1543
1220093;-439;-479;-1468
1230093;-439;-379;-1365
1240089;-439;-279;-1231
1250090;-439;-179;-1066
1260090;-439;-79;-877
1270090;-439;20;-674
1280090;-439;120;-475
1290092;-439;220;-294
1300077;-439;320;-141
1310090;-439;420;-20
1320091;-439;519;70
1330090;-439;619;137
1340088;-439;719;184
1350093;-439;819;216
1360091;-439;920;238
1370093;-429;-979;-1669
1380091;-429;-879;-1651
1390093;-429;-779;-1625
1400093;-429;-679;-1587
1410090;-429;-579;-1533
1420090;-429;-479;-1458
1430093;-429;-379;-1355
1440092;-429;-279;-1221
1450092;-429;-179;-1056
1460091;-429;-79;-867
1470091;-429;20;-664
1480089;-429;120;-465
1490092;-429;220;-284
1500088;-429;320;-131
1510090;-429;420;-10
1520091;-429;519;80
1530088;-429;619;147
1540091;-429;719;194
1550089;-429;819;226
1560089;-429;920;249
1570091;-419;-979;-1658
1580092;-419;-879;-1641
1590090;-419;-779;-1615
1600088;-419;-679;-1577
1610077;-419;-579;-1523
1620089;-419;-479;-1447
1630090;-419;-379;-1344
1640090;-419;-279;-1211
1650092;-419;-179;-1046
1660088;-419;-79;-856
1670092;-419;20;-653
1680089;-419;120;-454
1690090;-419;220;-273
1700090;-419;320;-121
1710093;-419;420;0
1720090;-419;519;91
1730092;-419;619;157
1740090;-419;719;204
1750091;-419;819;237
1760092;-419;920;259
1770090;-409;-979;-1648
1780093;-409;-879;-1630
1790093;-409;-779;-1604
1800092;-409;-679;-1566
1810089;-409;-579;-1512
1820089;-409;-479;-1436
1830093;-409;-379;-1334
1840093;-409;-279;-1200
1850092;-409;-179;-1035
1860091;-409;-79;-845
1870091;-409;20;-643
1880091;-409;120;-443
1890092;-409;220;-263
1900077;-409;320;-110
1910089;-409;420;10
1920091;-409;519;102
1930090;-409;619;168
1940092;-409;719;215
1950090;-409;819;247
1960088;-409;920;270
1970090;-399;-979;-1637
1980089;-399;-879;-1619
1990093;-399;-779;-1593
2000089;-399;-679;-1555
2010090;-399;-579;-1501
2020091;-399;-479;-1425
2030090;-399;-379;-1323
2040091;-399;-279;-1189
2050092;-399;-179;-1024
2060088;-399;-79;-834
2070088;-399;20;-632
2080091;-399;120;-432
2090090;-399;220;-252
2100091;-399;320;-99
2110091;-399;420;21
2120089;-399;519;113
2130091;-399;619;179
2140092;-399;719;226
2150090;-399;819;258
2160091;-399;920;281
2170093;-389;-979;-1625
2180088;-389;-879;-1608
2190088;-389;-779;-1582
2200091;-389;-679;-1544
