Timestamp;scop_filter_fir;scop_filter_fir1;scop_filter_fir2;scop_filter_fir3;scop_filter_lp;scop_filter_raw
0;-9107;-9100;-9112;0;-9099;-9088
1077;-9106;-9097;-9113;0;-9097;-9076
2087;-9104;-9093;-9114;0;-9095;-9062
3083;-9102;-9089;-9114;0;-9091;-9083
4087;-9101;-9089;-9113;0;-9088;-9112
5077;-9100;-9091;-9112;0;-9088;-9109
6087;-9100;-9094;-9110;0;-9089;-9109
7077;-9099;-9095;-9107;0;-9092;-9117
8087;-9098;-9094;-9105;0;-9095;-9081
9078;-9096;-9091;-9103;0;-9095;-9045
10087;-9094;-9089;-9100;0;-9093;-9071
11078;-9093;-9091;-9097;0;-9090;-9117
12087;-9093;-9093;-9095;0;-9089;-9109
13083;-9092;-9094;-9093;0;-9090;-9083
14087;-9091;-9093;-9092;0;-9091;-9083
15078;-9091;-9091;-9091;0;-9090;-9085
16087;-9091;-9087;-9091;0;-9089;-9062
17078;-9090;-9085;-9091;0;-9087;-9076
18087;-9089;-9083;-9091;0;-9085;-9088
19078;-9088;-9082;-9091;0;-9083;-9059
20087;-9086;-9081;-9092;0;-9080;-9047
21078;-9084;-9079;-9093;0;-9076;-9062
22087;-9084;-9074;-9093;0;-9072;-9071
23083;-9083;-9072;-9093;0;-9070;-9081
24087;-9082;-9071;-9091;0;-9069;-9085
25091;-9081;-9072;-9089;0;-9070;-9090
26087;-9080;-9073;-9086;0;-9072;-9093
27078;-9079;-9076;-9084;0;-9075;-9093
28087;-9079;-9078;-9082;0;-9078;-9090
29078;-9079;-9078;-9080;0;-9081;-9078
30087;-9079;-9079;-9079;0;-9082;-9047
31078;-9077;-9078;-9078;0;-9081;-9033
32087;-9076;-9078;-9076;0;-9077;-9085
33083;-9076;-9081;-9074;0;-9075;-9126
34087;-9077;-9081;-9073;0;-9077;-9093
35091;-9076;-9079;-9073;0;-9079;-9050
36087;-9075;-9075;-9075;0;-9078;-9038
37078;-9074;-9071;-9076;0;-9075;-9042
38087;-9074;-9069;-9077;0;-9071;-9064
39078;-9073;-9067;-9077;0;-9067;-9078
40087;-9074;-9067;-9077;0;-9066;-9078
41078;-9074;-9068;-9077;0;-9065;-9066
42087;-9074;-9070;-9077;0;-9066;-9071
43083;-9073;-9069;-9078;0;-9066;-9078
44087;-9073;-9066;-9077;0;-9067;-9074
45091;-9071;-9064;-9077;0;-9068;-9050
46087;-9070;-9064;-9076;0;-9068;-9045
47078;-9069;-9067;-9074;0;-9066;-9078
48087;-9068;-9068;-9073;0;-9065;-9069
49078;-9066;-9066;-9072;0;-9065;-9038
50087;-9065;-9063;-9071;0;-9063;-9042
51078;-9066;-9062;-9069;0;-9061;-9081
52087;-9067;-9064;-9067;0;-9061;-9105
53083;-9067;-9066;-9065;0;-9063;-9088
54087;-9066;-9067;-9064;0;-9067;-9088
55078;-9067;-9070;-9063;0;-9072;-9090
56093;-9067;-9071;-9063;0;-9075;-9050
57087;-9067;-9070;-9064;0;-9075;-9018
58079;-9067;-9067;-9066;0;-9072;-9035
59087;-9066;-9066;-9066;0;-9067;-9054
60078;-9065;-9065;-9067;0;-9062;-9057
61087;-9065;-9065;-9067;0;-9059;-9066
62078;-9065;-9063;-9066;0;-9058;-9078
63093;-9064;-9060;-9067;0;-9058;-9064
64079;-9063;-9057;-9069;0;-9058;-9040
65087;-9062;-9055;-9069;0;-9058;-9054
66092;-9062;-9052;-9069;0;-9057;-9035
67087;-9060;-9050;-9069;0;-9054;-9009
68079;-9059;-9052;-9067;0;-9050;-9066
69087;-9059;-9054;-9066;0;-9048;-9081
70078;-9059;-9053;-9065;0;-9049;-9045
71087;-9058;-9051;-9064;0;-9049;-9033
72077;-9055;-9048;-9063;0;-9048;-9023
73093;-9053;-9046;-9061;0;-9047;-9064
