Timestamp;scop_exciting_gy;scop_exciting_signal
0;252;-517
1079;252;-515
2079;236;-513
3076;221;-509
4075;221;-506
5076;282;-506
6076;313;-510
7077;313;-513
8077;297;-514
9078;313;-516
10078;313;-519
11080;297;-521
12080;267;-520
13076;236;-518
14076;206;-514
15077;206;-509
16076;206;-506
17078;206;-502
18078;206;-498
19079;221;-495
20079;221;-493
21080;206;-489
22075;206;-485
23090;221;-483
24092;236;-483
25080;236;-482
26079;221;-481
27078;190;-478
28078;190;-474
29078;190;-472
30078;190;-471
31077;190;-469
32077;175;-467
33076;175;-464
34088;160;-463
35077;160;-461
36077;160;-461
37077;175;-462
38077;175;-465
39076;160;-468
40077;129;-470
41076;84;-473
42076;84;-477
43075;114;-487
44092;160;-503
45075;175;-524
46075;145;-549
47075;160;-582
48075;175;-623
49080;175;-666
50080;160;-699
51079;145;-729
52079;129;-756
53078;114;-780
54092;84;-800
55075;53;-818
56076;38;-834
57075;38;-848
58076;7;-858
59080;-38;-862
60075;-99;-861
61079;-144;-856
62080;-175;-849
63079;-175;-842
64091;-190;-835
65080;-236;-826
66080;-267;-813
67079;-297;-799
68080;-343;-783
69079;-358;-767
70079;-373;-752
71078;-404;-737
72079;-404;-724
73080;-419;-712
74075;-419;-702
75091;-419;-694
76076;-404;-689
77078;-389;-685
78077;-373;-683
79078;-343;-683
80078;-328;-685
81079;-297;-689
82079;-297;-693
83075;-282;-698
84075;-251;-705
85091;-205;-715
86075;-144;-729
87077;-114;-745
88077;-83;-762
89078;-68;-780
90077;-68;-796
91076;-83;-813
92080;-68;-829
93080;-53;-846
94079;-38;-864
95091;-53;-881
96079;-83;-893
97075;-83;-906
98080;-99;-918
99075;-144;-926
100079;-205;-930
101079;-236;-932
102078;-236;-933
103079;-221;-935
104078;-221;-937
105078;-236;-938
106089;-221;-940
107078;-221;-942
108078;-221;-944
109077;-221;-946
110077;-221;-948
111076;-236;-949
112076;-251;-948
113075;-267;-947
114075;-251;-946
115080;-236;-947
116088;-205;-949
117077;-190;-953
118077;-205;-955
119076;-236;-955
120076;-221;-955
121076;-190;-958
122076;-190;-962
123075;-221;-962
124075;-251;-961
125080;-251;-960
126088;-236;-960
127077;-221;-961
128078;-205;-963
129077;-190;-966
130077;-221;-967
131076;-221;-967
132076;-205;-968
133075;-175;-971
134076;-129;-977
135075;-114;-985
136075;-129;-990
137088;-160;-994
138077;-144;-997
139078;-129;-1002
140078;-114;-1008
141080;-99;-1015
142080;-99;-1021
143075;-114;-1026
144075;-129;-1029
145077;-160;-1031
146076;-160;-1032
147089;-160;-1034
148079;-175;-1035
149080;-175;-1035
150080;-190;-1036
151076;-205;-1034
152075;-205;-1033
153076;-175;-1034
