Timestamp;scop_pitchspeed;scop_rollspeed;scop_yawspeed
0;4;3;-2
1075;6;3;0
2076;6;3;2
3080;6;8;2
4077;6;8;2
5080;6;6;2
6077;6;0;2
7075;4;0;2
8077;4;-1;5
9075;-1;-7;8
10077;-6;-9;8
11075;-9;-12;10
12078;-11;-12;13
13076;-9;-12;10
14078;-6;-9;8
15076;-3;-7;8
16078;-3;-4;8
17077;-3;-4;8
18079;-3;-1;8
19077;-3;0;8
20078;-3;0;8
21080;-6;-1;5
22076;-6;-1;5
23078;-6;-1;2
24079;-6;0;2
25091;-1;-1;0
26078;-1;-4;2
27080;-1;-1;0
28077;-3;-1;-2
29078;-3;-4;-2
30075;-3;-9;0
31076;-3;-12;2
32079;-3;-9;5
33075;-1;-7;5
34078;-1;-7;2
35088;1;-4;2
36076;4;-1;-2
37077;6;0;-2
38079;6;0;-2
39075;9;0;-2
40078;9;-1;-2
41079;6;-1;-5
42076;6;0;-2
43078;6;0;0
44075;6;0;2
45076;6;-1;5
46212;4;-4;5
47080;4;-1;5
48076;4;-1;5
49079;4;-1;2
50080;6;-4;2
51077;6;-4;2
52078;6;-1;5
53075;6;0;8
54077;6;0;5
55079;6;-1;2
56076;6;-4;0
57093;6;-1;0
58078;9;0;0
59075;9;0;0
60076;9;0;0
61079;9;3;0
62080;12;3;0
63077;14;0;0
64078;14;0;0
65075;14;0;0
66077;12;3;0
67075;12;3;2
68092;9;3;2
69078;6;0;2
70076;6;-1;2
71078;4;-4;0
72076;1;-7;0
73078;1;-9;2
74076;4;-9;2
75079;4;-9;0
76077;4;-9;0
77079;4;-9;0
78091;6;-9;2
79078;9;-7;2
80076;9;-7;5
81078;12;-7;2
82076;14;-4;5
83078;14;-1;5
84076;14;3;8
85078;12;3;5
86075;9;3;2
87076;6;0;0
88089;4;-1;0
89075;-1;-4;2
90077;-6;-4;5
91079;-11;-7;8
92075;-17;-9;8
93078;-17;-9;8
94079;-19;-7;8
95076;-19;-7;8
96078;-14;-4;5
97075;-9;0;8
98076;-6;0;8
99093;-3;0;5
100079;-1;0;2
101075;1;0;2
102078;1;0;2
103079;1;0;2
104076;-1;0;2
105078;-1;0;2
106076;-1;-1;0
107077;-1;-1;0
108080;-3;-4;0
109091;-6;-7;2
110077;-11;-9;5
111079;-11;-9;8
112076;-9;-7;8
113077;-6;-7;5
114080;-6;-9;5
115076;-3;-12;5
116079;-3;-12;5
117080;-3;-9;5
118077;-3;-7;5
119091;-3;-7;5
120078;-6;-7;5
121079;-6;-7;5
122076;-3;-7;2
123078;-1;-7;2
124075;-1;-7;2
125076;-1;-7;2
126079;-1;-7;5
127075;-3;-7;5
128077;-6;-4;5
129093;-6;-4;5
130088;-6;-7;5
131079;-6;-9;5
132077;-9;-9;0
133079;-11;-12;0
134077;-11;-12;-2
135079;-11;-7;0
136078;-11;-4;0
137075;-9;-1;0
138078;-9;-4;2
139075;-9;-1;5
140079;-9;-1;8
141088;-9;3;5
142080;-9;6;2
143078;-6;8;0
144080;-3;8;2
145078;-3;11;5
146075;-6;14;2
