Timestamp;scop_accx;scop_accy;scop_accz;scop_gyrox;scop_gyroy;scop_gyroz
0;42975;8619;23391;-290;199;-276
1078;47907;5099;25977;-245;152;-259
2077;44196;6392;32273;-196;99;-235
3078;49871;-5219;42521;-149;45;-207
4077;55138;-17334;48674;-99;-9;-174
5077;47716;-15801;58849;-45;-62;-137
6077;40605;-21188;72376;9;-112;-99
7079;45705;-32225;80876;62;-160;-59
8089;38570;-30861;92368;109;-203;-19
9078;20685;-30142;108529;151;-241;18
10079;20733;-36008;120093;183;-276;54
11079;19680;-40198;128927;207;-303;91
12080;981;-38355;141880;228;-325;126
13079;-8595;-37277;152079;241;-332;155
14075;-4884;-40605;156317;245;-332;178
15080;-13814;-37565;165750;244;-325;196
16075;-28921;-36679;174872;235;-309;210
17076;-34691;-30023;176883;222;-290;221
18086;-37924;-23702;179038;203;-257;224
19091;-46902;-25953;180953;175;-219;222
20076;-55521;-17932;178535;140;-180;216
21076;-59280;-9313;174824;99;-134;203
22076;-57628;-7781;172885;50;-85;184
23077;-53151;-8212;165582;0;-32;160
24076;-60166;3016;156221;-50;21;131
25076;-63685;15370;149517;-103;74;97
26075;-52935;12880;137163;-158;128;59
27075;-54037;21164;125456;-209;178;19
28080;-56311;26120;117435;-253;230;-19
29090;-43981;23175;104267;-294;277;-61
30079;-31052;28203;90596;-334;312;-99
31079;-34165;32968;80133;-367;341;-135
32079;-27317;35242;68761;-396;361;-169
33079;-4357;33423;54946;-416;377;-201
34078;-5027;37134;46950;-432;383;-232
35078;-3543;33638;41491;-444;383;-254
36077;9864;30502;31052;-445;380;-273
37079;15490;36104;26001;-438;367;-286
38078;20135;28514;23654;-422;346;-296
39173;32680;19752;16807;-398;317;-300
40076;44819;20757;16519;-364;283;-297
41076;42233;15897;21116;-325;244;-288
42076;48578;5291;23080;-282;199;-274
43075;52504;2537;25953;-235;149;-253
44075;43837;3639;34452;-184;94;-227
45080;49344;-4979;42161;-132;38;-198
46080;52911;-13838;48051;-80;-18;-166
47080;46160;-17094;62560;-32;-70;-132
48080;41060;-22720;74028;15;-120;-96
49079;39959;-26575;81738;61;-167;-58
50091;37660;-31962;96175;103;-210;-18
51075;29807;-38833;108600;145;-248;21
52075;21763;-33447;117339;180;-279;58
53080;11133;-33183;130340;209;-303;94
54075;2896;-44460;144298;235;-325;128
55079;-4572;-40054;152774;248;-335;158
56080;-20350;-30071;159142;256;-338;184
57075;-18507;-38857;168863;254;-331;204
58075;-13096;-46543;173076;242;-311;218
59079;-36942;-27198;174728;221;-288;224
60080;-51906;-17836;180618;195;-261;227
61092;-41706;-28227;181241;167;-222;224
62075;-48075;-19249;178463;134;-175;215
63075;-66415;-6823;176739;96;-128;199
64080;-60262;-7733;172645;51;-77;178
65080;-51355;-5937;163859;4;-25;155
66079;-63949;4429;155766;-44;27;126
67075;-63111;12449;147075;-96;83;94
68079;-48578;14891;134242;-149;135;58
69080;-52887;22912;125049;-203;184;19
70079;-52409;23391;115903;-254;232;-21
71090;-41946;26767;101466;-300;273;-61
72079;-37684;32704;90309;-340;309;-99
73080;-34668;29855;79583;-375;341;-137
74080;-21284;34356;65313;-404;369;-174
75075;-7876;38379;53773;-425;389;-206
76075;-6200;35194;47046;-436;398;-235
77077;6081;29903;38881;-439;398;-257
78076;13263;33375;29544;-436;387;-274
79077;12497;33782;26408;-424;372;-286
80077;22529;26336;22074;-409;349;-296
81090;32082;26216;16448;-386;317;-297
82079;39624;20685;18411;-355;280;-293
83080;45825;9935;20326;-320;241;-283
84079;51906;7709;22098;-277;195;-268
85075;51379;4046;27988;-232;145;-248
86075;50134;-3567;35122;-181;93;-222
87076;49799;-5099;41395;-128;38;-190
88076;43071;-6081;51259;-71;-18;-157
89077;48123;-20183;65074;-16;-73;-120
90075;49799;-28969;73669;32;-123;-82
91075;35697;-23822;84443;77;-174;-42
92090;30047;-30885;99359;119;-218;-6
93078;33854;-41323;108337;155;-254;32
94075;22481;-35146;118465;186;-285;70
95080;3160;-32920;134051;210;-306;105
96080;4357;-41539;145208;227;-322;137
97080;2346;-41204;152319;239;-329;164
98075;-20997;-33854;162446;248;-329;187
99079;-27126;-35865;171017;250;-320;206
100079;-20446;-38857;172550;242;-303;218
