Timestamp;scop_ax_x;scop_ax_y;scop_ax_z;scop_pitch;scop_pitchspeed;scop_roll;scop_rollspeed;scop_yaw;scop_yawspeed
0;15;99;-1192;-1;-94;0;-20;1164;11
1076;14;99;-1192;-1;-94;0;-23;1164;9
2079;13;99;-1192;-1;-94;0;-20;1164;1
3079;13;99;-1192;-1;-94;0;-23;1164;-4
4078;13;100;-1192;-1;-94;0;-25;1164;1
5078;13;100;-1192;-1;-94;0;-28;1164;3
6080;12;100;-1193;-1;-97;0;-25;1164;3
7079;12;100;-1193;-1;-100;0;-20;1164;1
8080;12;100;-1192;-1;-100;0;-20;1164;-1
9079;10;100;-1192;-1;-92;0;-23;1164;-1
10080;10;101;-1192;-1;-86;0;-25;1164;-4
11079;10;101;-1192;-1;-86;0;-23;1164;-4
12080;9;101;-1192;-1;-81;0;-20;1164;-9
13080;9;101;-1192;-1;-78;0;-23;1164;-14
14079;9;101;-1192;-1;-81;0;-23;1164;-14
15079;10;101;-1192;-1;-84;0;-23;1164;-14
16080;11;100;-1192;-1;-89;0;-23;1164;-14
17079;11;100;-1191;-1;-89;0;-25;1164;-14
18078;10;101;-1191;-1;-97;0;-31;1164;-17
19079;10;100;-1191;-1;-102;0;-28;1164;-20
20075;10;100;-1191;-1;-102;0;-23;1164;-20
21076;10;100;-1191;-1;-100;0;-20;1164;-14
22075;9;100;-1191;-1;-102;0;-23;1164;-9
23076;9;100;-1191;-1;-105;0;-28;1164;-9
24093;9;100;-1191;-1;-108;0;-31;1164;-17
25077;8;100;-1191;-1;-108;0;-28;1164;-20
26075;7;100;-1191;-1;-102;0;-28;1164;-25
27076;6;100;-1191;-1;-102;0;-25;1164;-25
28080;7;100;-1191;-1;-105;0;-23;1164;-22
29079;8;100;-1191;-1;-108;0;-20;1164;-20
30078;8;100;-1191;-1;-105;0;-17;1164;-14
31079;8;100;-1191;-1;-102;0;-23;1164;-9
32079;8;100;-1191;-1;-97;0;-25;1164;-9
33079;8;100;-1191;-1;-92;0;-28;1163;-12
34093;8;100;-1192;-1;-89;0;-28;1163;-12
35076;7;100;-1192;-1;-86;0;-28;1163;-12
36080;7;100;-1193;-1;-86;0;-28;1163;-12
37079;7;100;-1193;-1;-86;0;-36;1163;-9
38080;7;100;-1193;-1;-89;0;-39;1163;-12
39079;7;100;-1193;-1;-89;0;-36;1163;-14
40080;7;100;-1193;-1;-89;0;-36;1163;-12
41079;7;100;-1193;-1;-92;0;-39;1163;-6
42080;7;100;-1193;-1;-92;0;-39;1163;-6
43079;6;100;-1193;-1;-92;0;-36;1163;-6
44093;7;100;-1193;-1;-92;0;-33;1163;-6
45076;6;100;-1193;-1;-92;0;-33;1163;-4
46080;7;100;-1193;-1;-92;0;-31;1163;1
47079;8;100;-1193;-1;-97;0;-31;1163;1
48077;8;100;-1193;-1;-97;0;-28;1163;1
49077;7;100;-1193;-1;-94;0;-28;1163;-1
50080;6;100;-1193;-1;-89;0;-31;1163;-1
51079;6;100;-1193;-1;-89;0;-36;1163;1
52080;7;100;-1193;-1;-86;0;-36;1163;1
53080;8;100;-1193;-1;-84;0;-33;1163;1
54093;9;101;-1193;-1;-78;0;-36;1163;-1
55077;9;101;-1192;-1;-78;0;-39;1163;1
56080;9;101;-1192;-1;-84;0;-41;1163;6
57079;10;101;-1191;-1;-89;0;-47;1163;11
58080;10;101;-1191;-1;-92;0;-44;1163;14
59079;10;101;-1191;-1;-92;0;-41;1163;14
60080;10;101;-1191;-1;-92;0;-41;1163;19
61079;10;101;-1191;-1;-92;0;-39;1163;22
62080;11;102;-1191;-1;-94;0;-33;1163;19
63080;12;101;-1191;-1;-102;0;-36;1163;19
64093;13;101;-1191;-1;-102;0;-41;1164;19
65076;13;102;-1191;-1;-100;0;-52;1164;17
66080;14;102;-1191;-1;-97;0;-55;1164;11
67079;13;102;-1192;-1;-94;0;-52;1164;9
68080;13;102;-1192;-1;-94;0;-52;1164;9
69079;13;102;-1191;-1;-97;0;-57;1164;9
70080;14;101;-1191;-1;-97;0;-60;1164;9
71079;15;101;-1191;-1;-97;0;-60;1164;9
72080;15;101;-1191;-1;-92;0;-60;1164;11
73080;14;101;-1191;-1;-84;0;-57;1164;9
74078;13;101;-1191;-1;-86;0;-52;1164;6
75093;13;100;-1191;-1;-86;0;-44;1164;3
76076;13;100;-1191;-1;-86;0;-39;1164;1
77080;13;100;-1191;-1;-86;0;-39;1164;1
78079;12;100;-1191;-1;-86;0;-41;1164;1
79078;12;100;-1191;-1;-86;0;-47;1164;3
80078;11;100;-1190;-1;-89;0;-49;1164;9
81075;10;100;-1190;-1;-89;0;-47;1164;14
82076;10;100;-1190;-1;-92;0;-41;1164;19
83075;9;100;-1190;-1;-97;0;-39;1164;22
84076;7;101;-1190;-1;-105;0;-36;1164;19
85093;7;101;-1190;-1;-105;0;-33;1164;19
86077;6;101;-1190;-1;-105;0;-28;1164;22
87075;5;101;-1190;-1;-100;0;-28;1164;22
88076;5;101;-1190;-1;-100;0;-31;1164;19
89080;5;101;-1190;-1;-100;0;-28;1164;17
90079;5;102;-1190;-1;-94;0;-25;1164;11
91078;4;102;-1190;-1;-94;0;-25;1164;9
92079;4;102;-1190;-1;-97;0;-25;1164;6
93075;4;102;-1190;-1;-97;0;-23;1164;3
94076;5;102;-1190;-1;-94;0;-20;1164;3
95080;5;102;-1190;-1;-92;0;-20;1164;1
96093;6;102;-1191;-1;-89;0;-17;1164;1
97076;6;102;-1191;-1;-84;0;-17;1164;-1
98079;6;102;-1191;-1;-84;0;-20;1164;3
99079;7;102;-1191;-1;-89;0;-23;1164;3
100079;8;102;-1191;-1;-94;0;-25;1164;3
101079;8;102;-1191;-1;-94;0;-28;1164;3
102080;8;102;-1192;-1;-92;0;-31;1164;3
103080;8;102;-1192;-1;-92;0;-33;1164;1
104078;7;102;-1192;-1;-92;0;-31;1164;1
105078;7;102;-1192;-1;-92;0;-25;1164;-1
106093;7;102;-1192;-1;-92;0;-25;1164;-4
