Timestamp;scop_pitchspeed;scop_rollspeed;scop_yawspeed
0;32;-137;97
1090;30;-132;94
2080;30;-129;92
3078;30;-127;86
4077;32;-127;84
5078;38;-124;81
6077;43;-119;84
7077;40;-113;86
8078;35;-113;92
9078;35;-119;97
10077;35;-121;100
11077;38;-124;97
12093;38;-127;94
13076;35;-129;97
14079;32;-129;100
15078;32;-127;100
16077;35;-127;100
17077;38;-132;97
18078;38;-137;94
19078;35;-140;92
20077;32;-140;86
21077;35;-140;86
22088;35;-140;89
23078;35;-137;94
24078;38;-137;94
25078;35;-135;94
26077;35;-137;94
27077;38;-137;94
28078;38;-135;100
29078;40;-129;97
30077;46;-124;92
31077;46;-121;89
32091;46;-127;89
33076;46;-129;89
34079;48;-129;92
35079;48;-129;92
36077;46;-132;92
37078;46;-137;94
38077;40;-137;94
39078;38;-132;94
40077;38;-129;94
41078;40;-129;92
42090;43;-127;89
43075;43;-127;86
44079;48;-129;86
45079;48;-129;84
46077;48;-127;89
47078;48;-127;94
48077;46;-132;100
49078;43;-135;102
50077;46;-132;100
51078;51;-132;94
52093;54;-135;89
53091;54;-140;84
54079;54;-137;84
55077;54;-137;86
56077;54;-135;92
57078;56;-137;86
58078;59;-137;78
59077;56;-135;78
60077;51;-127;81
61078;51;-127;84
62078;56;-127;89
63090;56;-132;86
64078;54;-129;89
65077;51;-129;97
66077;56;-124;97
67078;64;-129;94
68078;62;-129;89
69077;54;-135;86
70077;54;-137;84
71078;54;-137;89
72078;54;-137;94
73077;56;-137;97
74090;59;-127;92
75075;62;-127;89
76078;62;-124;89
77078;62;-124;92
78077;62;-124;94
79077;62;-111;97
80078;62;-113;94
81078;64;-116;92
82077;67;-116;92
83077;70;-113;94
84088;72;-113;100
85088;72;-119;102
86079;75;-121;105
87077;78;-124;108
88077;80;-124;108
89078;80;-116;105
90078;78;-116;100
91077;75;-119;94
92077;72;-124;86
93078;70;-124;81
94078;67;-124;84
95090;67;-124;86
96079;64;-121;86
97077;59;-116;81
98077;59;-116;78
99077;59;-121;76
100078;59;-127;78
101077;59;-129;78
102078;59;-124;78
103077;62;-116;78
104079;59;-105;84
105092;62;-100;89
106091;67;-103;94
107076;70;-105;94
108079;78;-108;94
109079;80;-103;94
110077;83;-100;97
111078;83;-100;97
112077;80;-103;100
113078;80;-103;102
114078;75;-103;105
115079;70;-100;108
116090;67;-98;105
117075;70;-98;100
118077;75;-98;97
119077;75;-95;100
120077;70;-95;97
121078;70;-98;92
122077;70;-98;89
123077;75;-98;86
124078;75;-95;86
125078;72;-90;92
126089;72;-90;92
127079;70;-92;89
128077;72;-92;89
129077;75;-95;86
130078;78;-95;89
131078;78;-92;92
132077;75;-92;94
133077;75;-90;92
134078;70;-90;89
135078;62;-90;94
136088;59;-90;97
137093;59;-87;97
138078;59;-87;100
139077;62;-98;97
140077;64;-98;92
141078;67;-98;92
142078;72;-90;89
143077;75;-87;86
144080;72;-87;86
145077;72;-92;92
146077;78;-90;94
147094;78;-84;94
148092;80;-84;97
149078;78;-90;100
150077;75;-92;102
151077;75;-95;102
152078;78;-95;100
153078;78;-92;100
154077;78;-95;100
155078;78;-95;100
156077;75;-98;102
157077;72;-98;108
158090;70;-95;108
159080;64;-95;105
160077;56;-92;100
161077;51;-95;89
162078;51;-95;86
163078;56;-92;92
164078;64;-84;94
165079;64;-82;94
166077;62;-82;94
167078;62;-82;92
168092;64;-82;84
169076;64;-82;78
170079;64;-82;78
171079;67;-82;84
172077;64;-87;89
173078;59;-92;86
174078;62;-95;78
175079;64;-90;81
176077;67;-87;86
177078;67;-87;92
178077;64;-90;92
179088;62;-92;92
180079;62;-95;92
181078;59;-95;94
182079;54;-100;97
183076;51;-100;102
184079;48;-98;110
185076;46;-95;113
186076;46;-95;108
187078;48;-95;97
188078;48;-95;94
189091;48;-100;92
190075;48;-100;92
191078;48;-100;92
192078;48;-100;92
193077;46;-103;92
194080;46;-105;89
195077;46;-105;92
196077;46;-105;94
197078;43;-103;89
198078;43;-100;86
199089;40;-100;86
200093;40;-100;86
201078;38;-98;89
202077;38;-95;94
203077;40;-100;100
204078;40;-100;100
205077;43;-95;94
206078;43;-92;92
207077;46;-95;94
208077;46;-98;97
209078;43;-100;97
210092;38;-103;102
211090;38;-105;100
212079;38;-108;94
213077;35;-105;92
214080;32;-103;94
215077;30;-103;97
216077;32;-111;97
217078;35;-121;97
218078;40;-124;92
219077;46;-124;92
220077;51;-127;92
221092;54;-124;89
222076;54;-121;89
223078;56;-124;89
224079;56;-132;92
225077;51;-132;92
226077;43;-132;97
227078;40;-132;97
228078;38;-135;97
229077;38;-132;97
230078;38;-129;94
231077;38;-129;97
232091;38;-129;97
233076;43;-132;97
234079;46;-129;94
235079;43;-132;92
236077;40;-137;89
237078;43;-132;86
238077;38;-127;84
239078;32;-124;81
240077;32;-124;84
241078;35;-127;86
242077;38;-124;86
243089;40;-121;84
244078;43;-121;84
245078;46;-121;84
246079;46;-121;86
247077;48;-121;94
248078;51;-121;100
249076;48;-119;97
250075;48;-116;92
251077;48;-121;86
252078;48;-127;84
253093;40;-132;89
254076;40;-137;94
255078;43;-137;97
256078;40;-132;94
257077;38;-121;94
258077;38;-116;92
259078;38;-116;86
260078;40;-119;81
261077;40;-124;81
262077;43;-127;86
263092;43;-127;89
264076;46;-124;89
265078;46;-119;89
266078;43;-116;94
267077;40;-119;97
268077;40;-124;100
269078;38;-132;102
270078;35;-132;105
271077;35;-132;102
272077;32;-132;100
273078;32;-135;100
274091;32;-137;100
275075;35;-140;94
276078;38;-137;92
277078;40;-132;86
278077;43;-127;81
279077;46;-124;81
280078;48;-121;84
281078;46;-121;89
282077;43;-124;97
283077;43;-129;100
284092;48;-129;105
285076;56;-129;105
286078;59;-132;105
287078;54;-132;108
288077;51;-129;108
289077;51;-119;105
290078;54;-113;108
291078;54;-113;108
292077;48;-119;105
293077;46;-121;94
294078;48;-121;89
295089;54;-121;89
296080;56;-121;97
297077;56;-121;100
298078;56;-119;100
299077;59;-119;94
300078;62;-119;89
301077;64;-121;84
302078;64;-124;78
303077;62;-129;84
304079;62;-135;86
305087;64;-140;89
306088;70;-137;89
307080;72;-135;89
308077;75;-132;89
309078;72;-129;92
310077;70;-127;97
311078;67;-127;97
312077;62;-132;97
313078;59;-135;100
314076;62;-137;105
315076;64;-135;102
316174;64;-129;97
317079;64;-124;97
318077;62;-121;100
319077;59;-119;97
320078;56;-119;92
321078;59;-127;89
322077;62;-132;92
323077;64;-129;89
324078;64;-124;84
325078;67;-121;81
326077;72;-113;78
327089;72;-111;78
328079;75;-116;86
329077;78;-121;92
330077;78;-124;92
331078;75;-127;89
332078;72;-124;92
333077;75;-119;94
334080;75;-113;94
335077;72;-111;97
336077;64;-108;100
337094;64;-111;97
338090;70;-116;94
339079;78;-116;97
340077;86;-116;100
341077;88;-116;97
342078;83;-119;92
343078;80;-119;86
344077;78;-119;84
345078;75;-119;84
346077;75;-121;84
347094;72;-127;81
348089;72;-132;81
349079;75;-135;81
350077;78;-129;84
351077;80;-121;84
352078;83;-116;81
353078;86;-116;78
354077;83;-119;78
355078;72;-119;81
356077;70;-119;86
357077;70;-116;84
358089;78;-116;84
359079;83;-116;86
360077;80;-116;94
361078;80;-116;100
362077;80;-121;102
363078;80;-124;102
364078;78;-121;102
365079;80;-111;100
366077;80;-103;100
367078;78;-103;102
368089;75;-105;102
369080;75;-105;100
370078;70;-108;97
371079;67;-108;92
372077;67;-105;86
373078;72;-103;81
374078;78;-103;81
375079;78;-105;81
376077;72;-103;84
377078;70;-103;84
378090;75;-105;84
379080;80;-108;84
380076;80;-111;81
381076;80;-113;81
382077;78;-116;86
383078;75;-119;92
384077;72;-121;97
385078;70;-121;102
386077;67;-121;102
387077;64;-121;97
388091;62;-121;89
389075;67;-119;89
390078;70;-111;97
391078;70;-105;102
392077;70;-105;100
393077;67;-111;97
394078;67;-111;92
395078;64;-105;84
396077;64;-100;84
397077;56;-100;84
398092;51;-98;86
399076;54;-100;86
400078;56;-100;81
401078;59;-100;78
402077;62;-100;81
403077;59;-103;81
404078;56;-103;84
405088;54;-103;86
406077;54;-103;89
407078;62;-105;89
408078;64;-103;89
409088;62;-103;92
410078;56;-105;100
411077;48;-105;105
412077;43;-100;105
413078;43;-98;102
414078;43;-98;97
415077;43;-100;94
416077;43;-103;94
417078;38;-105;92
418078;38;-105;92
419088;43;-105;92
420078;46;-103;94
421077;46;-103;94
422077;46;-103;94
423078;48;-103;92
424079;51;-103;92
425077;51;-108;89
426077;48;-111;89
427077;46;-108;94
428078;51;-100;97
429143;56;-92;97
430076;56;-98;94
431079;56;-103;92
432079;59;-103;92
433077;64;-100;97
434079;67;-100;100
435077;62;-100;100
436078;56;-100;100
437077;54;-103;94
438078;51;-103;92
439077;48;-105;94
440090;48;-111;97
441076;48;-111;100
442079;46;-111;100
443079;40;-108;100
444078;35;-103;100
445077;35;-100;97
446076;35;-100;97
447075;32;-100;94
448078;30;-108;92
449078;27;-111;92
450088;27;-111;94
451078;24;-108;92
452077;27;-108;94
453077;30;-108;97
454078;27;-105;100
455078;27;-105;100
456077;27;-108;97
457077;30;-108;94
458078;30;-111;97
459078;32;-111;102
460092;38;-113;105
461076;38;-113;108
462078;35;-113;105
463078;35;-116;97
464078;35;-119;94
465078;35;-119;94
466077;35;-116;97
467077;35;-116;97
468078;35;-113;94
469078;38;-113;92
470092;43;-116;89
471076;43;-116;89
472078;43;-113;92
473078;43;-111;94
474077;38;-105;97
475078;35;-103;97
476077;32;-100;92
477077;30;-100;89
478078;32;-105;89
479078;30;-111;94
480089;30;-108;94
481078;35;-105;86
482077;40;-105;84
483077;40;-108;84
484078;43;-108;86
485078;46;-108;89
486077;46;-108;84
487077;48;-100;81
488078;54;-98;84
489078;56;-98;92
490077;51;-98;97
491092;51;-100;97
492076;54;-103;94
493079;51;-108;89
494079;51;-111;84
495077;56;-108;84
496078;62;-111;86
497077;62;-113;89
498078;59;-113;86
499077;54;-111;86
500078;48;-105;89
501089;46;-105;92
502080;48;-108;92
503078;51;-108;97
504079;48;-105;97
505077;48;-105;94
506078;48;-105;92
507077;46;-105;94
508078;48;-108;97
509077;56;-113;94
510078;62;-116;92
511076;62;-113;89
512089;62;-111;86
513078;59;-111;89
514077;62;-111;89
515078;64;-111;86
516077;67;-116;86
517077;64;-121;86
518078;64;-124;86
519078;67;-121;89
520077;70;-121;94
521077;67;-119;97
522091;64;-116;97
523075;67;-113;94
524078;67;-111;94
525078;64;-113;94
526077;64;-119;97
527077;64;-121;94
528078;67;-121;89
529078;67;-119;84
530077;72;-116;86
531077;75;-121;89
532093;75;-124;92
533076;78;-124;89
534079;75;-121;86
535078;70;-116;86
536077;70;-116;86
537077;70;-113;89
538078;70;-116;89
539078;70;-116;86
540077;70;-119;84
541077;72;-119;84
542093;72;-113;89
543076;72;-113;94
544079;75;-119;97
545078;78;-121;94
546077;80;-119;94
547077;83;-113;94
548078;83;-113;94
549078;83;-116;97
550077;83;-111;97
551077;86;-108;94
552078;86;-108;94
553091;80;-111;89
554077;80;-116;86
555077;80;-119;94
556077;80;-119;100
557078;80;-119;102
558079;80;-121;100
559077;78;-121;94
560078;78;-116;89
561077;80;-111;89
562078;80;-111;89
563077;72;-116;89
564091;64;-119;86
565076;62;-116;81
566079;62;-113;76
567079;62;-113;76
568077;64;-119;86
569078;64;-121;89
570077;67;-119;86
571078;67;-116;86
