Timestamp;scop_accx;scop_accy;scop_accz;scop_pitchspeed;scop_rollspeed;scop_yawspeed;scop_pitch;scop_roll;scop_yaw
0;2399;2341;97914;67;-75;-10;-10;-12;17081
1091;2112;1982;97795;69;-78;-18;-10;-12;17081
2089;1825;1886;98249;72;-78;-18;-10;-12;17080
3079;2064;1982;98679;77;-75;-16;-10;-12;17080
4080;2280;2150;98655;77;-80;-10;-10;-12;17080
5080;2304;2509;98392;72;-83;-5;-10;-12;17080
6076;2734;2533;98273;72;-80;-2;-10;-12;17080
7076;2184;1958;98225;64;-80;0;-10;-12;17080
8077;2112;2054;98058;64;-80;2;-10;-12;17080
9077;2184;2365;97938;46;-78;5;-10;-12;17080
10078;1993;2150;98296;46;-72;7;-10;-12;17080
11078;1921;2054;98774;51;-67;10;-10;-12;17080
12093;1418;2293;98655;59;-70;10;-10;-12;17080
13077;1873;2700;98058;67;-78;7;-10;-12;17080
14078;2064;2605;97771;67;-80;7;-10;-12;17080
15078;1993;2126;98010;77;-80;13;-10;-12;17080
16079;1921;1862;98296;77;-80;13;-10;-12;17081
17079;1634;2174;98392;80;-80;10;-10;-12;17081
18075;1442;2437;98273;80;-83;13;-10;-12;17081
19075;1610;2102;98225;88;-86;13;-10;-12;17081
20076;1921;1815;98488;88;-91;10;-10;-13;17081
21077;2088;1862;98511;93;-94;7;-10;-13;17081
22090;2423;2030;98320;93;-94;5;-10;-13;17081
23080;2328;2198;97771;88;-88;5;-9;-13;17081
24075;1610;2198;97747;88;-83;5;-9;-13;17081
25075;1418;2437;98249;72;-78;2;-9;-13;17081
26076;2017;2652;98296;72;-78;5;-9;-13;17081
27076;1849;2389;98249;77;-80;10;-9;-13;17081
28077;1897;2365;97914;77;-86;10;-9;-13;17081
29078;2447;2365;98010;77;-88;5;-9;-13;17081
30079;2040;2413;98464;77;-86;5;-9;-13;17081
31079;2471;2748;97628;69;-83;7;-9;-13;17081
32093;2352;2796;97221;61;-80;7;-9;-13;17081
33078;1299;2581;98010;56;-78;10;-9;-13;17081
34079;1466;2245;98989;56;-78;10;-9;-13;17081
35080;2232;1958;99061;64;-78;2;-9;-13;17081
36080;2734;2437;98416;64;-83;-5;-9;-13;17081
37075;2447;2676;97890;75;-88;-10;-9;-13;17081
38075;1586;2030;97890;75;-88;-13;-9;-13;17081
39076;1538;2126;98703;69;-86;-16;-9;-13;17081
40076;2088;2676;98726;69;-86;-16;-9;-14;17081
41078;2184;2509;98034;64;-86;-13;-9;-14;17081
42089;2232;2245;97890;64;-86;-10;-9;-14;17081
43079;1825;2102;98535;67;-86;-10;-9;-14;17081
44079;2710;2317;98870;67;-88;-13;-9;-14;17081
45075;2758;2413;98010;61;-91;-13;-9;-14;17081
46075;1825;2269;97436;61;-91;-10;-9;-14;17081
47077;2040;2317;97699;54;-88;-2;-9;-14;17081
48078;1562;2533;98129;54;-88;2;-9;-14;17081
49079;1897;2892;99085;48;-91;2;-9;-14;17081
50080;2639;2940;99037;48;-88;-2;-9;-14;17081
51076;2160;2557;97962;56;-83;-8;-9;-14;17081
52093;1945;2365;97914;61;-78;-8;-9;-14;17081
53079;1945;2389;98010;64;-78;-5;-9;-14;17081
54080;1753;2365;97747;64;-80;-2;-9;-14;17081
55076;2112;2461;97986;64;-80;0;-9;-14;17081
56076;1753;2461;98249;64;-80;0;-9;-14;17081
57078;1682;2652;98488;67;-83;-2;-9;-14;17080
58079;2208;2485;98464;67;-83;-8;-9;-14;17080
59075;2352;2293;98273;75;-83;-8;-9;-15;17080
60075;1993;2293;97819;75;-80;-2;-9;-15;17080
61077;2040;2245;97604;72;-80;-2;-9;-15;17080
62078;2208;2174;97986;72;-80;-5;-9;-15;17080
63091;2017;2174;98249;67;-80;-10;-9;-15;17080
64077;2064;2628;98583;67;-80;-8;-9;-15;17080
65077;2112;3059;98703;67;-75;0;-9;-15;17080
66078;1969;2557;98296;67;-67;5;-9;-15;17080
67078;1873;1791;97747;69;-59;5;-9;-15;17080
68079;2088;1910;97556;69;-57;7;-9;-14;17080
69079;1921;2222;97628;64;-54;13;-9;-14;17080
70075;2328;2652;97962;64;-51;15;-9;-14;17080
71075;1993;2293;98535;56;-51;15;-9;-14;17081
72076;1705;2054;98750;56;-49;7;-9;-14;17081
73119;1993;2413;97938;69;-49;2;-9;-14;17081
74077;2017;2341;97938;69;-49;2;-9;-14;17081
75078;2591;2293;97723;72;-51;2;-9;-13;17081
76079;2064;1982;97747;72;-51;2;-9;-13;17081
77079;2184;1958;97651;64;-51;-2;-9;-13;17081
78080;2495;2581;98392;64;-54;-2;-9;-13;17081
79080;1729;2796;98989;59;-59;2;-9;-13;17081
80076;2088;2413;98679;59;-67;2;-9;-13;17081
81076;2256;2102;98416;56;-70;-2;-9;-13;17081
82078;1849;2174;97962;56;-78;-2;-9;-13;17081
83093;2017;2030;97389;59;-80;2;-9;-13;17081
84078;2088;1791;97436;59;-75;7;-9;-13;17081
85079;2256;2126;98225;61;-64;5;-9;-13;17081
86080;2184;2581;98559;61;-54;0;-9;-13;17081
87080;1921;2676;98344;67;-49;-5;-9;-13;17081
88075;1586;2581;98296;67;-49;-8;-9;-12;17081
89076;1323;2245;98177;64;-54;-5;-9;-12;17081
90077;2280;2030;97866;64;-59;0;-9;-12;17081
91077;2710;2126;97819;75;-59;5;-9;-12;17081
92079;2184;2054;97962;75;-54;13;-9;-12;17081
93079;1753;2102;98464;80;-51;15;-9;-12;17081
94093;1825;2198;99013;80;-51;15;-9;-12;17081
95091;2543;2269;98965;80;-54;13;-9;-12;17081
96075;2423;2245;98368;80;-57;5;-9;-12;17081
97076;2567;2030;97675;72;-59;0;-9;-11;17081
98077;2112;1575;97747;72;-62;-2;-8;-11;17081
99078;1658;1503;98177;69;-64;-2;-8;-11;17081
100078;2878;1910;98655;69;-70;-2;-8;-11;17081
101079;2519;2222;98750;64;-75;-2;-9;-11;17081
102079;1753;2245;98655;64;-80;-5;-9;-11;17081
103075;2088;2293;98846;67;-86;-2;-9;-11;17081
104075;1993;2174;98559;67;-91;0;-9;-12;17081
105076;2471;1767;97747;64;-91;2;-9;-12;17081
106091;2663;1743;97580;61;-86;0;-9;-12;17081
107090;1849;1791;98201;59;-75;0;-9;-12;17081
108075;2352;2126;98488;59;-70;0;-9;-12;17081
109076;2088;2557;98798;54;-72;5;-9;-12;17081
110077;1801;2461;99013;54;-75;7;-9;-12;17081
111078;2256;1958;98511;64;-72;2;-9;-12;17081
112079;1634;1719;97914;64;-70;0;-9;-12;17081
113076;1347;2006;97556;80;-67;-2;-9;-12;17081
114076;1705;1695;97795;80;-62;-2;-9;-12;17081
115078;2160;1910;98703;83;-57;0;-9;-12;17081
116079;1921;2293;99252;77;-59;0;-9;-12;17081
117075;1562;2030;98726;75;-64;2;-9;-12;17081
118091;1873;2198;97890;77;-75;0;-9;-12;17081
119077;1921;1982;97819;83;-86;0;-9;-12;17081
120077;2758;1862;98201;83;-94;2;-9;-12;17081
121079;2878;1671;98129;77;-94;5;-9;-12;17081
122080;2256;1432;98081;69;-91;5;-9;-12;17081
123076;2447;2150;98440;64;-86;7;-9;-12;17081
124076;1729;2533;98177;64;-80;7;-9;-12;17081
125078;1753;2389;97914;67;-80;10;-9;-12;17081
126079;2064;2269;98034;77;-78;15;-9;-12;17081
127075;1562;1958;98153;83;-78;18;-9;-12;17081
128075;2304;1791;97890;83;-72;13;-9;-13;17081
129091;2352;1695;98010;83;-64;7;-8;-12;17081
130080;1921;1623;98750;77;-64;5;-8;-12;17082
131075;2352;1886;99013;69;-72;0;-8;-12;17082
132076;1658;1934;98822;69;-78;0;-8;-12;17082
133077;1729;1886;98416;77;-78;0;-8;-13;17082
134077;1897;1336;97866;85;-70;0;-8;-13;17082
135079;1873;1384;97914;93;-62;-2;-8;-13;17082
136079;2304;1815;98368;85;-59;-10;-8;-12;17081
137080;2615;1647;98320;77;-59;-13;-8;-12;17081
138079;2710;2054;98488;69;-59;-10;-8;-12;17081
139075;1658;2198;98798;67;-59;-8;-8;-12;17081
140090;1394;2054;98559;67;-64;-5;-8;-12;17081
141079;1562;1623;98273;67;-70;-2;-8;-12;17081
142075;2280;1599;98034;67;-70;-2;-8;-12;17081
143075;2830;1551;97436;61;-62;-5;-8;-12;17081
144076;2998;1336;97699;59;-57;-8;-8;-12;17081
145077;3285;1719;98774;51;-57;-10;-8;-12;17081
146078;2184;1886;99109;46;-59;-13;-9;-12;17081
147078;1658;2078;98798;48;-62;-13;-9;-12;17081
148079;1634;2437;98368;51;-59;-13;-9;-12;17081
149079;1203;2054;97460;54;-54;-16;-9;-12;17081
150093;1921;1527;97460;51;-49;-16;-9;-12;17081
151079;2639;1671;98511;54;-49;-13;-9;-12;17081
152093;2423;1982;98607;61;-54;-5;-9;-12;17081
153077;2352;2054;98344;64;-62;-2;-10;-12;17081
154078;1490;1982;98368;69;-67;-2;-10;-12;17080
155079;820;1886;98655;77;-67;-5;-10;-12;17080
156080;1777;1599;98583;80;-64;-10;-10;-12;17080
157080;3117;1910;97866;83;-62;-13;-9;-12;17080
158075;3213;2174;97699;85;-62;-10;-9;-12;17080
159076;2710;1743;98416;80;-62;-5;-9;-12;17080
160077;2399;1575;99252;72;-67;-5;-9;-12;17080
161077;1777;1815;99085;67;-72;-5;-9;-12;17080
162078;1490;1839;98296;64;-75;-8;-9;-12;17080
163089;1897;1886;97580;61;-75;-8;-10;-12;17080
164079;2304;2006;97771;61;-70;-8;-10;-12;17080
165080;2687;1815;98559;64;-64;-2;-10;-12;17080
166075;2806;1456;98535;67;-62;0;-10;-12;17080
167076;2328;1599;98153;67;-59;2;-10;-12;17080
168076;1849;2293;97962;67;-57;5;-10;-12;17080
