Timestamp;scop_pitchspeed;scop_rollspeed;scop_yawspeed
0;-491;477;172
1088;-506;492;172
2079;-506;462;172
3075;-567;416;172
4076;-613;370;187
5078;-643;324;187
6079;-643;279;187
7076;-643;263;203
8077;-674;248;248
9078;-704;218;309
10079;-704;187;340
11090;-659;126;340
12076;-643;65;340
13077;-659;34;325
14078;-659;19;279
15079;-582;-26;233
16075;-491;-87;203
17078;-460;-148;172
18079;-475;-194;142
19074;-521;-194;126
20076;-506;-209;126
21204;-445;-270;126
22078;-414;-301;96
23079;-475;-331;80
24075;-536;-346;80
25076;-506;-377;35
26077;-430;-423;-25
27079;-414;-453;-41
28075;-460;-468;-41
29076;-521;-484;-25
30077;-536;-499;-10
31078;-491;-499;4
32088;-445;-499;19
33079;-445;-530;35
34078;-445;-575;50
35075;-399;-606;50
36076;-307;-591;19
37078;-216;-606;-10
38079;-216;-621;-10
39075;-262;-636;4
40075;-231;-591;4
41077;-155;-545;4
42090;-78;-514;19
43076;-63;-514;19
44077;-94;-530;4
45079;-139;-514;-10
46079;-124;-484;-41
47077;-124;-484;-56
48078;-155;-499;-56
49079;-185;-468;-25
50075;-185;-392;35
51076;-139;-362;35
52077;-124;-377;35
53091;-139;-407;35
54077;-201;-423;35
55078;-246;-438;19
56074;-231;-438;19
57076;-201;-468;4
58077;-185;-484;19
59078;-231;-499;35
60079;-307;-499;19
61075;-368;-484;-10
62077;-414;-468;-25
63093;-506;-468;-41
64079;-628;-484;-56
65074;-750;-499;-41
66076;-857;-484;-56
67077;-979;-484;-56
68079;-1086;-514;-41
69079;-1239;-530;-41
70076;-1376;-545;-41
71076;-1437;-545;-25
72078;-1437;-545;-10
73089;-1422;-575;4
74076;-1407;-575;35
75078;-1407;-530;50
76075;-1376;-484;65
77078;-1300;-453;65
78075;-1178;-438;80
79076;-1071;-453;80
80078;-979;-453;80
81075;-872;-392;50
82077;-750;-316;19
83088;-689;-270;4
84075;-643;-255;35
85077;-613;-194;50
86079;-597;-117;50
87077;-552;-41;19
88079;-521;-10;35
89075;-536;50;65
90078;-582;141;80
91079;-643;233;65
92076;-674;294;80
93119;-659;279;111
94076;-628;248;157
95077;-659;233;187
96079;-720;233;172
97077;-765;263;157
98079;-765;263;157
99075;-765;233;172
100077;-796;187;172
101079;-842;172;172
102076;-842;187;157
103077;-842;172;172
104090;-872;141;172
105076;-918;126;172
106078;-949;95;187
107075;-872;95;203
108078;-750;80;172
109079;-643;19;142
110076;-613;-10;111
111078;-597;-10;126
112075;-567;19;126
113079;-521;19;142
114089;-475;4;142
115076;-475;-26;96
116078;-521;-26;50
117075;-536;-10;50
118077;-552;4;50
119079;-567;-10;50
120076;-674;19;65
121077;-811;65;96
122079;-888;95;142
123195;-903;141;142
124079;-903;156;157
125076;-933;141;203
126078;-1040;126;248
127075;-1101;80;248
128077;-1071;65;233
129079;-979;80;248
130076;-872;50;248
131078;-781;19;248
132075;-689;19;218
133076;-597;34;203
134092;-475;34;187
135078;-399;19;187
136075;-353;-10;172
137078;-323;-41;157
138075;-262;-56;126
139076;-155;-102;65
140079;-109;-133;35
141075;-170;-148;19
142077;-277;-148;35
143095;-353;-163;50
144092;-399;-163;19
145079;-460;-209;-25
146075;-552;-255;-41
147078;-674;-285;-25
148075;-781;-331;4
149076;-811;-377;35
150079;-811;-392;50
151075;-857;-423;50
152078;-888;-438;50
153090;-903;-438;65
154091;-872;-423;80
155078;-842;-392;65
156075;-811;-346;50
157077;-826;-285;65
158079;-842;-239;80
159075;-857;-224;65
160078;-857;-194;50
161079;-872;-163;35
162076;-903;-117;19
163078;-903;-87;35
164089;-842;-56;35
165076;-765;-56;19
166078;-735;-72;35
167075;-750;-56;50
168077;-781;-26;80
169078;-765;19;80
170075;-704;4;80
171077;-628;-10;65
172079;-597;-41;50
173075;-597;-26;50
174093;-552;-26;65
175079;-460;-26;80
176076;-399;-56;111
177078;-399;-56;142
178075;-445;-26;187
179077;-445;4;218
180079;-414;-10;187
181075;-399;-41;157
182078;-445;-72;126
183079;-506;-56;126
184092;-552;-26;111
185079;-552;4;80
186076;-552;19;65
187078;-613;-10;96
188075;-659;-56;111
189076;-613;-72;111
190079;-521;-87;126
191075;-460;-102;157
192078;-460;-117;203
193079;-475;-133;203
194092;-460;-133;172
195079;-368;-117;111
196076;-292;-102;80
197078;-277;-72;65
198075;-323;-41;65
199076;-368;-10;80
200078;-384;-10;96
201075;-399;-10;111
202077;-445;-10;96
203078;-536;19;65
204090;-613;50;50
205076;-659;34;50
206079;-704;19;50
207076;-796;19;65
208078;-872;19;80
209074;-903;50;111
210076;-918;95;157
211078;-903;141;172
212075;-888;172;187
213076;-903;172;203
214090;-933;156;218
215076;-964;172;218
216078;-888;172;218
217076;-781;202;172
218078;-735;248;142
219079;-750;324;126
220076;-750;370;142
221078;-720;385;172
222075;-704;401;203
223076;-704;416;203
224091;-689;447;203
225078;-659;462;187
226075;-628;462;172
227077;-628;492;172
228079;-704;492;172
229075;-765;492;142
230078;-750;492;126
231079;-704;477;111
232076;-689;447;111
233077;-689;447;111
234088;-720;462;126
235079;-689;462;157
236076;-613;462;203
237079;-582;447;203
238078;-597;431;187
239074;-613;431;172
240077;-628;431;187
241078;-597;416;218
242075;-552;385;203
243077;-521;355;203
244089;-552;355;218
245075;-613;385;218
246077;-613;401;187
247075;-567;385;126
248077;-567;355;126
249079;-582;309;142
250076;-582;279;157
251078;-521;279;187
252075;-430;248;187
253076;-353;248;187
254079;-338;248;142
255090;-338;248;111
256077;-307;248;96
257075;-231;248;111
258077;-124;248;111
259079;-63;263;126
260076;-78;294;142
261078;-109;324;126
262075;-109;355;111
263076;-109;401;111
264078;-155;447;111
265089;-231;462;126
266075;-292;477;142
267079;-292;508;142
268076;-262;553;172
269077;-277;599;203
270079;-292;615;218
271076;-262;599;218
272078;-185;599;203
273079;-109;569;203
274076;-63;538;218
275092;-48;508;218
276078;-2;477;203
277076;73;447;218
278078;150;416;233
279075;150;416;248
280077;58;416;233
281079;-33;447;172
282075;-109;492;142
283077;-201;508;126
284079;-338;492;126
285088;-521;431;142
286075;-689;385;157
287077;-872;355;172
288075;-1040;279;157
289076;-1193;156;126
290078;-1361;65;126
