Timestamp;scop_gx;scop_gy;scop_gz
0;7;90;20
1000;-32;130;75
2000;-37;155;25
3000;-62;-9;-9
4000;12;-109;-9
5000;2;-84;-29
6000;-12;0;-49
7000;97;-74;15
8000;62;-109;-14
9000;-47;-24;0
10000;112;-44;25
11000;132;25;50
12000;47;35;10
13000;62;135;-9
14000;-47;-9;-9
15000;82;-24;-9
16000;87;-49;-14
17000;22;-14;-59
18000;-32;0;-29
19000;-32;25;-74
20000;-37;-89;-64
21000;42;130;-109
22000;97;-24;-69
23000;-7;-179;-34
24000;-62;-99;0
25000;-87;70;80
26000;-107;-59;55
27000;-82;-154;-49
28000;32;-54;-39
29000;-127;-24;-54
30000;-92;-49;-64
31000;82;10;0
32000;12;20;-19
33000;-97;15;-4
34000;-137;-4;-24
35000;-37;-94;-84
36000;-7;55;-24
37000;52;60;-44
38000;-137;-14;-14
39000;-97;-4;65
40000;-7;-9;20
41000;-32;-14;-69
42000;-102;-4;-54
43000;-52;-4;50
44000;-57;-69;5
45000;-32;-49;-9
46000;62;120;-14
47000;47;-84;5
48000;-82;-154;-24
49000;-2;10;15
50000;22;60;10
51000;2;10;-104
52000;-32;0;25
53000;67;-24;-29
54000;22;-24;-94
55000;57;75;-34
56000;17;60;-19
57000;17;60;-19
58000;117;70;20
59000;152;-14;-14
60000;22;-44;-84
61000;-7;-74;5
62000;47;-74;25
63000;-42;0;40
64000;-72;-109;-64
65000;-32;-134;-109
66000;-7;-109;-59
67000;-197;-44;-14
68000;-47;-69;-169
69000;92;-64;5
70000;-12;-94;20
71000;-127;-109;-74
72000;-32;65;-44
73000;-107;35;-44
74000;-152;-74;-79
75000;-52;-119;-9
76000;-167;-119;-14
77000;-82;-129;-4
78000;47;-154;15
79000;57;-14;10
80000;97;-69;0
81000;12;-79;5
82000;-57;-39;-24
83000;-77;-64;-129
84000;-72;-44;-64
85000;187;135;20
86000;162;5;10
87000;-42;-84;-104
88000;-67;-19;-54
89000;22;-9;-49
90000;12;-29;-79
91000;27;85;0
92000;62;5;-64
93000;-17;30;-59
94000;-77;40;0
95000;-12;-69;-24
96000;-22;-64;15
97000;-152;-134;60
98000;-157;-109;15
99000;97;130;45
100000;157;-14;-24
101000;97;-139;-104
102000;107;-169;-119
103000;-142;-89;-94
104000;57;35;-109
105000;147;65;-24
106000;72;25;5
107000;-82;35;-9
108000;-22;60;-19
109000;-47;-119;-89
110000;-117;-59;25
111000;-97;-4;20
112000;-97;-14;-24
113000;-27;-24;5
114000;-32;60;-4
115000;-72;95;55
116000;-17;10;65
117000;-37;0;-44
118000;-52;60;-89
119000;77;10;-54
120000;47;-29;-59
121000;-67;50;-84
122000;-117;110;-54
123000;-117;110;-54
124000;-52;-54;-69
125000;7;-49;-44
126000;-57;-44;-4
127000;87;120;55
128000;122;50;75
129000;2;0;105
130000;-142;110;-74
131000;-82;80;-124
132000;52;-19;-39
133000;-42;-29;55
134000;-27;120;50
135000;-47;35;30
136000;-82;0;-4
137000;-67;-24;-74
138000;2;120;5
139000;-22;80;60
140000;-57;35;55
141000;-57;135;25
142000;32;115;-94
143000;-57;-84;-99
144000;47;95;-29
145000;-32;-34;-4
146000;-32;-119;-4
147000;-92;-184;15
148000;-92;-144;-59
149000;47;-159;-99
150000;-107;-84;45
151000;-47;-114;-14
152000;32;-54;-89
153000;102;15;-84
154000;32;30;-79
155000;-32;-44;5
156000;7;-79;50
157000;-12;-84;-74
158000;-87;-154;-69
159000;-107;-89;-24
160000;-122;50;-59
161000;-52;-124;-79
162000;-92;-144;15
163000;57;75;25
164000;82;165;10
165000;-162;75;-64
166000;2;75;35
167000;-7;40;-49
168000;-37;65;-59
169000;-92;55;35
170000;-117;10;-14
171000;2;60;-79
172000;-22;-119;-74
173000;-87;-144;-84
174000;-47;-34;-49
175000;-37;80;-24
176000;62;30;25
177000;62;30;5
178000;47;70;-24
179000;-67;35;-64
180000;-92;5;-29
181000;-47;95;-19
182000;-37;35;-44
183000;-57;-109;-64
184000;-32;-14;-119
185000;112;120;-4
186000;92;40;30
187000;-42;-14;-39
188000;-2;85;-64
189000;47;-9;-89
190000;-52;-144;-24
191000;2;-134;-19
192000;92;-114;-139
193000;97;-84;-194
194000;47;5;-89
195000;27;20;-64
196000;-12;-109;-89
197000;27;-99;-59
198000;-82;0;-24
199000;-2;-14;-29
200000;132;-34;-54
201000;37;-39;-194
202000;52;-4;-74
203000;67;30;70
204000;77;0;-49
205000;112;-49;-89
206000;-2;-49;-59
207000;82;30;-109
208000;37;0;-74
209000;-62;25;15
210000;-47;70;-44
211000;-2;-4;-64
212000;92;10;-64
213000;92;10;-64
214000;12;-29;-79
215000;-37;-24;-74
216000;-102;-19;-64
217000;47;45;-24
218000;57;60;-44
219000;157;-19;5
220000;152;-39;-34
221000;22;-59;-129
222000;-7;5;-89
223000;-32;-24;-94
224000;-77;-114;-24
225000;-32;-34;-39
226000;92;-59;-114
227000;-157;-119;-54
228000;-12;80;-44
229000;112;-84;-69
230000;7;-74;-29
231000;-52;70;-14
232000;42;95;85
233000;-82;-59;0
234000;-162;-109;-159
235000;42;-84;-34
236000;12;5;20
237000;-2;-84;-54
238000;47;-39;-79
239000;-57;50;-44
240000;-47;-34;55
241000;72;15;95
242000;47;80;60
243000;87;-34;-44
244000;107;-19;-119
