Timestamp;js_gxf;js_gxr;js_gyf;js_gyr;js_gzf;js_gzr
0;425;449;-878;-933;438;500
1127;449;462;-770;-711;400;368
2080;251;228;-519;-86;78;23
3079;-67;-129;148;592;-311;-367
4080;-339;-402;769;1008;-573;-602
5078;-422;-433;1049;966;-564;-546
6075;-276;-218;847;486;-272;-211
7075;31;116;257;-202;169;244
8076;352;401;-431;-764;549;599
9076;521;505;-875;-922;687;683
10078;440;383;-852;-589;520;465
11095;141;88;-368;85;136;63
12199;-226;-391;685;781;-276;-328
13078;-481;-486;955;1161;-514;-521
14078;-506;-499;1162;1035;-455;-420
15080;-300;-280;867;460;-127;-68
16080;39;81;208;-280;299;357
17075;368;421;-494;-821;598;629
18076;539;570;-900;-905;610;595
19078;473;452;-816;-503;323;265
20078;196;127;-293;171;-116;-193
21075;-160;-232;400;777;-491;-543
22089;-424;-452;907;1001;-619;-615
23079;-471;-439;956;713;-447;-389
24079;-276;-214;502;33;-76;0
25075;70;122;-244;-721;305;353
26076;403;423;-929;-1187;520;518
27078;559;552;-1222;-1137;481;441
28079;462;440;-984;-594;217;168
29075;163;128;-334;171;-144;-181
30076;-190;-235;408;781;-434;-454
31078;-429;-465;883;938;-512;-513
32090;-436;-436;861;569;-336;-311
33079;-207;-158;353;-132;15;68
34078;153;228;-377;-801;371;430
35079;473;525;-946;-1080;548;576
36078;591;585;-1043;-812;449;417
37080;444;385;-607;-126;114;35
38078;103;32;144;637;-291;-368
39080;-256;-297;845;1114;-567;-592
40078;-447;-442;1167;1094;-576;-536
41080;-369;-331;970;600;-307;-234
42088;-66;-17;356;-126;115;176
43078;302;343;-371;-734;486;509
44079;550;571;-853;-917;617;605
45080;560;551;-845;-578;433;396
46079;348;308;-354;113;22;-29
47080;37;-17;367;799;-399;-455
48078;-218;-256;951;1127;-617;-648
49080;-302;-299;1108;937;-524;-501
50078;-174;-131;764;331;-168;-92
51080;111;168;84;-399;283;370
52078;421;459;-613;-917;618;659
53092;594;596;-1003;-989;682;652
54079;535;506;-904;-591;453;378
55078;277;232;-374;74;54;-14
56075;-39;-80;312;674;-311;-338
57075;-251;-272;805;904;-470;-453
58077;-257;-245;859;648;-362;-324
59077;-53;-11;453;34;-55;-17
60078;272;326;-207;-632;297;329
61078;573;611;-802;-1024;528;551
62080;696;700;-1043;-950;529;529
63090;567;532;-811;-442;294;258
64078;247;188;-206;267;-75;-140
65079;-92;-143;497;851;-411;-469
66080;-273;-287;967;1028;-544;-556
67078;-204;-171;965;699;-397;-347
68080;80;142;481;14;-29;52
69078;452;508;-246;-682;383;447
70080;742;765;-847;-1032;634;644
71078;813;797;-1019;-861;592;548
72080;629;587;-686;-267;272;206
73096;285;235;-24;449;-163;-218
74090;-46;-84;654;955;-502;-526
75075;-210;-220;1035;1025;-584;-574
76076;-139;-115;944;636;-372;-331
77078;127;177;424;-28;31;90
78078;468;520;-272;-653;430;484
79079;717;745;-807;-941;631;652
80078;736;722;-925;-758;542;512
81075;501;449;-589;-211;216;145
82076;134;70;15;413;-181;-252
83078;-165;-206;576;791;-455;-482
84078;-247;-238;804;714;-472;-441
85089;-81;-29;565;192;-223;-157
86076;231;294;-52;-535;166;226
87077;536;571;-760;-1114;492;518
88079;692;685;-1207;-1243;576;561
89079;632;597;-1152;-839;361;315
90075;386;345;-602;-86;-58;-118
91076;62;31;187;657;-486;-539
92078;-192;-211;838;1033;-717;-739
93078;-251;-255;1032;859;-645;-620
94075;-70;-47;675;221;-314;-248
95076;285;338;-50;-555;113;187
96090;652;715;-777;-1077;436;474
97079;855;887;-1133;-1077;497;477
98079;800;772;-942;-559;262;197
99075;531;457;-305;211;-160;-232
100080;195;126;456;848;-556;-598
101079;-38;-54;969;1046;-718;-714
102078;-61;-20;988;718;-562;-517
103079;129;189;511;36;-170;-104
104078;429;466;-222;-672;267;324
105080;675;678;-861;-1073;548;571
106079;733;716;-1103;-987;550;529
107088;564;541;-842;-462;280;224
108078;246;215;-216;241;-129;-194
109079;-65;-104;466;785;-480;-522
110080;-222;-250;876;903;-596;-593
111078;-150;-139;816;536;-416;-368
112080;114;171;317;-136;-25;44
113078;447;518;-373;-774;380;436
114080;698;734;-910;-1052;601;614
115078;752;728;-1017;-819;527;491
116075;575;513;-631;-182;196;130
117123;241;183;442;555;-234;-297
118076;-89;-113;759;1034;-558;-587
119077;-247;-238;1084;1011;-613;-596
120078;-151;-122;874;482;-371;-317
121078;149;186;219;-298;42;108
122080;502;542;-553;-942;416;462
123078;737;767;-1062;-1132;565;568
124080;744;743;-1063;-789;426;383
125078;523;480;-576;-102;83;16
126075;183;116;145;582;-279;-333
127075;-103;-152;750;938;-474;-483
128115;-186;-180;857;802;-399;-361
129079;-6;52;649;245;-91;-27
130079;360;436;-4;-475;304;359
131080;732;778;-710;-1037;606;629
132078;916;911;-1145;-1183;672;657
133080;822;777;-1110;-845;457;413
134078;505;449;-625;-178;46;-10
135080;121;78;77;494;-367;-418
136079;-159;-176;653;834;-577;-599
137080;-223;-214;816;666;-483;-456
138088;-60;-29;494;91;-145;-76
139078;232;275;-134;-575;260;334
140079;504;542;-738;-980;543;574
141080;630;642;-1005;-917;565;535
142078;558;532;-791;-410;298;228
143080;312;261;-179;311;-151;-221
144078;-5;-54;555;924;-570;-608
145080;-245;-268;1065;1142;-738;-733
146079;-278;-263;1099;855;-569;-527
147075;-81;-37;640;190;-157;-93
148076;228;280;-87;-537;288;349
149090;482;514;-735;-977;561;589
150076;548;541;-999;-918;543;520
151076;389;347;-768;-405;257;192
152079;65;9;-171;291;-147;-218
153079;-289;-333;488;808;-464;-500
154075;-517;-531;874;876;-536;-517
155076;-503;-484;777;449;-332;-273
156078;-249;-203;225;-275;42;106
157079;117;172;-528;-954;397;434
158075;410;447;-1114;-1250;547;543
159088;480;479;-1224;-998;402;363
160079;301;255;-789;-313;22;-35
161079;-28;-94;-29;463;-404;-460
162075;-337;-383;675;946;-669;-697
163076;-460;-457;987;913;-650;-632
164078;-329;-281;775;403;-364;-303
165077;-11;51;166;-313;51;124
166079;324;366;-533;-879;407;450
167078;498;499;-977;-1015;534;525
168079;415;379;-939;-647;368;315
169078;120;67;-429;48;-9;-76
170090;-238;-284;305;736;-404;-452
171078;-489;-509;908;1087;-607;-614
172079;-513;-499;1089;934;-502;-466
173080;-302;-260;766;356;-134;-70
174078;46;101;101;-367;322;387
175080;378;420;-583;-884;645;680
176079;544;553;-952;-934;671;655
177080;468;439;-819;-488;380;317
178078;190;135;-250;233;-90;-171
179080;-150;-202;470;859;-514;-570
180092;-386;-409;976;1070;-683;-683
