Timestamp;js_gxf;js_gxr;js_gyf;js_gyr;js_gzf;js_gzr
0;-13234;-18037;1673;5165;-274;1539
1076;9141;-853;-3900;-750;-2170;-2021
2089;14506;18004;-4609;-5881;-1241;-2990
3079;1353;13765;918;-2993;1072;-323
4075;-13377;-8312;6100;4789;1553;2319
5075;-10771;-19735;4461;7506;-367;1572
6076;5480;-5842;-2022;1311;-2013;-1394
7077;14186;15309;-5515;-6407;-999;-2467
8078;4358;16539;-2456;-6547;1645;33
9079;-10742;-3318;2329;320;2602;2958
10075;-11149;-18139;2471;5201;573;2414
11075;3544;-8784;-1739;2273;-1913;-1021
12092;13665;11979;-4109;-3927;-1761;-3006
13076;5538;16597;-905;-4719;643;-1120
14078;-10404;-1044;3832;983;2088;2110
15078;-13247;-17715;3405;5131;836;2628
16080;1203;-11144;-2459;1438;-1360;-110
17075;14801;10766;-6916;-6046;-1598;-2506
18076;10235;19799;-4501;-7805;508;-1378
19076;-6853;3772;2177;-876;2175;1754
20078;-15266;-17592;5584;6971;1096;2671
21078;-5113;-17552;2226;6427;-1411;93
22093;10171;3760;-3307;-1762;-2117;-2644
23077;11359;19497;-4193;-7506;-44;-1902
24079;-2268;10110;-29;-4110;2319;1578
25079;-12435;-11791;3069;3454;2181;3561
26075;-5537;-17587;1102;5567;-186;1543
27075;9333;55;-2565;392;-1815;-2008
28077;12168;17631;-2164;-4387;-730;-2652
29077;-1252;11900;2478;-2013;1442;246
30078;-13433;-9584;5378;4348;1697;2779
31079;-8108;-18499;2257;5888;-300;1684
32093;8202;-2921;-3396;102;-1908;-1569
33078;14528;17100;-4532;-5682;-954;-2699
34079;2676;15591;320;-3902;1425;-153
35075;-12224;-5746;5109;3353;2137;2765
36075;-11225;-19628;3987;6979;208;2232
37076;4039;-8393;-1534;2291;-1836;-1033
38077;13637;13275;-4703;-5057;-1292;-2743
39078;5428;17642;-1910;-6050;1068;-756
40079;-9399;-345;2805;197;2089;2237
41080;-11318;-17066;3178;5470;451;2361
42093;2037;-11069;-887;3386;-1789;-593
43078;12928;9318;-3510;-2679;-1801;-2860
44079;6736;17147;-982;-4573;510;-1420
45075;-8780;2113;3329;-52;2210;1916
46076;-13209;-15830;3436;4502;1098;2822
47078;-132;-12669;-1503;2470;-1337;165
48079;13854;7760;-5694;-4029;-1904;-2568
49075;10435;18578;-3554;-6280;45;-1921
50076;-6426;5166;2842;-558;1837;1104
51078;-15264;-15390;5755;6236;1082;2506
52088;-4613;-16199;1544;5264;-1264;456
53079;11998;4206;-4715;-2754;-2067;-2262
54075;13311;19546;-5651;-8185;-35;-1844
55077;-2063;10022;-670;-4476;2312;1279
56078;-13880;-11784;3612;3564;1874;2946
57075;-6870;-17514;2126;6059;-869;855
58076;9291;-184;-2148;791;-2534;-2447
59078;13046;17073;-2631;-4428;-1137;-2805
60079;-633;11564;1609;-2585;1484;262
61076;-13803;-9385;4624;3399;2041;2892
62094;-8957;-18013;1866;5067;-53;1777
63089;7983;-2592;-3565;-190;-1986;-1570
64080;15114;16895;-4728;-5543;-1203;-2760
65076;2999;14746;337;-3475;1159;-350
66075;-13084;-6870;5727;4023;1846;2342
67076;-12882;-20457;4862;7541;-102;1740
68076;2987;-8509;-1165;2334;-2181;-1399
69078;14165;13883;-5095;-5483;-1606;-2895
70078;6773;18264;-2639;-6546;1078;-571
71079;-9074;-711;2488;111;2483;2658
72080;-12609;-18368;3622;5944;796;2574
73076;548;-11988;-373;3747;-1780;-745
74092;12729;9673;-3788;-3158;-1943;-3032
75077;7676;18123;-1696;-5379;350;-1452
76078;-7936;2495;3117;-133;2000;1838
77078;-13319;-16425;3843;5180;945;2650
78075;-960;-13538;-778;3339;-1407;-43
79075;13391;7725;-4749;-3204;-2098;-2861
80076;11241;19878;-2808;-5774;-276;-2202
81077;-4763;6939;2951;-579;1680;1080
82079;-14515;-15039;5685;6246;1249;2772
83079;-6156;-18375;1966;5904;-915;784
84093;9197;1062;-3992;-1881;-1897;-2207
85077;11945;18538;-5236;-7865;-331;-2253
86078;-1070;11891;-710;-4792;1804;751
87079;-12708;-10088;3497;3283;1707;2882
88080;-7704;-18905;2346;6433;-643;1233
89075;7228;-3436;-1784;1482;-2325;-2194
90076;12045;15636;-2856;-4561;-1123;-2922
91076;97;13297;595;-3935;1464;76
92078;-12768;-6962;3515;1867;2167;3018
93079;-9092;-18056;1203;4414;251;2268
94093;6926;-5091;-3949;-101;-1745;-1166
95078;14612;15083;-5146;-5564;-1358;-2993
96079;3699;15913;-102;-4067;690;-1090
97075;-12206;-4211;5522;3308;1467;1804
98076;-12951;-19566;5100;7548;-209;1795
99078;2275;-10306;-715;3143;-2130;-1029
100078;13911;11759;-4968;-4833;-1613;-2794
101079;7397;18506;-2968;-6849;845;-1050
102080;-8293;1687;2088;-821;2158;1999
103076;-12689;-16769;3576;5447;635;2389
104076;-364;-13231;221;4558;-1950;-590
105089;12205;7166;-2681;-1352;-2498;-3317
106079;8218;17445;-746;-4045;-397;-2339
107075;-7385;4087;3618;-53;1585;1048
108075;-14077;-15180;4360;4938;935;2513
109077;-2538;-14630;-318;3596;-1288;375
110077;12715;5453;-5196;-3115;-1962;-2341
111079;11946;18918;-4106;-6534;-47;-1950
112075;-4146;7853;1988;-1663;2038;1088
113077;-15116;-13815;5648;5649;1559;2775
114078;-6879;-17970;2402;6080;-999;771
115090;10025;1086;-3614;-1138;-2404;-2398
116080;13877;18843;-5033;-7114;-771;-2524
117076;4;12434;-457;-4459;1800;601
118077;-13204;-9548;3934;3254;1997;2926
119079;-8524;-18450;2564;6187;-315;1521
120075;7545;-3047;-2245;1049;-2066;-1725
121077;13609;16130;-3671;-4954;-965;-2559
122079;1602;13917;259;-3941;1567;130
123076;-12722;-6669;4181;2472;2193;2792
124077;-10412;-18457;2772;5712;-3;1834
125079;5722;-5855;-2262;1486;-2242;-1593
126090;14578;14577;-4302;-4576;-1621;-3021
127076;4437;15936;-285;-4143;1043;-562
128077;-11709;-3803;4846;2489;2352;2666
129079;-13062;-19093;4229;6417;816;2666
130080;2181;-9863;-1783;1980;-1415;-430
131075;14630;12388;-5937;-5630;-1397;-2567
132076;8625;19207;-3331;-6933;810;-1006
133077;-7817;1804;2603;-161;2140;2026
134077;-13456;-17429;4660;6459;661;2375
135079;-1349;-13858;866;5009;-1781;-489
136089;12203;7402;-3332;-2195;-2012;-2822
137078;9279;18467;-2389;-5790;322;-1511
138075;-6088;5190;1910;-1713;2345;1902
139075;-13320;-14566;3112;3857;1612;3158
140076;-2450;-14540;-793;3280;-919;602
141077;12575;5404;-4644;-2495;-2082;-2594
142079;12148;19201;-2931;-5363;-514;-2433
143079;-3433;8594;3023;-675;1487;632
144075;-14666;-13401;6345;6281;1152;2466
145075;-7840;-19087;2963;6606;-1004;784
146101;8060;-1121;-3185;-686;-2095;-2128
147076;13066;17991;-4903;-6954;-650;-2445
148076;1244;14083;-642;-4680;1642;416
149078;-11920;-7752;3860;3106;1973;2915
150078;-9321;-19359;3211;6857;-157;1738
151079;5362;-6050;-997;2470;-2167;-1792
152080;12300;14225;-2734;-3878;-1522;-3191
153076;2004;14805;379;-3948;886;-682
154076;-11844;-4660;3758;1723;1938;2520
155078;-10529;-18160;2038;4791;451;2473
156091;4814;-7664;-3292;591;-1456;-573
157076;14462;13297;-5509;-5512;-1172;-2566
158077;5785;17361;-1465;-5242;1005;-879
159078;-10258;-1027;4118;1581;2116;2153
160079;-13144;-18239;4518;6560;507;2393
161080;713;-12060;-610;3325;-1824;-542
162076;13346;9494;-4903;-4262;-1827;-2796
163077;8695;18766;-3229;-6792;552;-1385
164078;-6817;4131;1896;-1275;2314;1931
165078;-12988;-15327;3794;5162;1304;2971
166092;-1960;-14545;432;4642;-1142;407
167077;11699;5139;-3354;-1678;-1884;-2464
168077;9939;17826;-2485;-5487;37;-1919
169079;-5128;6926;1856;-1983;2030;1231
170079;-13731;-13097;3777;3988;1415;2795
171075;-4249;-15728;353;4278;-983;772
172076;11268;2668;-4183;-1634;-2029;-2167
173078;12568;17962;-3570;-5631;-349;-2181
174078;-2451;9774;2002;-1876;1942;807
175079;-14727;-11676;5655;5071;1931;2964
176097;-8339;-18403;2713;6152;-392;1453
177089;8736;-1205;-3274;-389;-2058;-1807
178079;14614;17858;-4988;-6510;-910;-2581
179076;1883;14087;-367;-4333;1430;13
180076;-12782;-7608;4806;3644;1750;2411
181078;-10446;-19123;4226;7510;-429;1421
182080;5426;-5807;-887;2640;-2308;-1688
183077;13774;14644;-3684;-4534;-1373;-2769
184077;3674;15519;-872;-5097;1380;-170
185079;-11452;-4072;3148;925;2547;2899
186075;-11519;-18191;2520;5117;671;2470
187077;3742;-8225;-2105;1943;-1806;-937
188090;14289;12642;-4309;-3980;-1745;-2971
189075;6126;16879;-443;-4123;560;-1176
190077;-10382;-1349;5002;2198;1934;1949
191078;-13957;-18467;4891;6580;635;2388
